id,date,time,sessionDuration,sourceSpoofed,sourceAddrressCategory,sourceAddress,sourcePort,destinationAddressCategory,destinationAddress,destinationPort,service,impact
1,03/07/2000,10:33:10,00:00:00,unknown,ipv4-addr,202.77.162.213,667,ipv4-addr,172.16.115.20,111,udp,unknown
2,03/07/2000,10:33:10,00:00:00,unknown,ipv4-addr,202.77.162.213,668,ipv4-addr,172.16.115.20,60250,udp,unknown
3,03/07/2000,10:33:12,00:00:00,unknown,ipv4-addr,202.77.162.213,668,ipv4-addr,172.16.115.20,111,udp,unknown
4,03/07/2000,10:33:12,00:00:00,unknown,ipv4-addr,202.77.162.213,669,ipv4-addr,172.16.115.20,60254,udp,unknown
5,03/07/2000,10:33:14,00:00:08,unknown,ipv4-addr,202.77.162.213,1425,ipv4-addr,172.16.115.20,23,tcp,unknown
6,03/07/2000,10:33:18,00:00:00,unknown,ipv4-addr,202.77.162.213,669,ipv4-addr,172.16.115.20,111,udp,unknown
7,03/07/2000,10:33:18,00:00:00,unknown,ipv4-addr,202.77.162.213,670,ipv4-addr,172.16.115.20,60268,udp,unknown
8,03/07/2000,10:33:20,00:00:00,unknown,ipv4-addr,202.77.162.213,670,ipv4-addr,172.16.115.20,111,udp,unknown
9,03/07/2000,10:33:20,00:00:00,unknown,ipv4-addr,202.77.162.213,671,ipv4-addr,172.16.115.20,60275,udp,unknown
10,03/07/2000,10:33:22,00:00:09,unknown,ipv4-addr,202.77.162.213,1488,ipv4-addr,172.16.115.20,23,tcp,unknown
11,03/07/2000,10:33:27,00:00:00,unknown,ipv4-addr,202.77.162.213,671,ipv4-addr,172.16.115.20,111,udp,unknown
12,03/07/2000,10:33:27,00:00:00,unknown,ipv4-addr,202.77.162.213,672,ipv4-addr,172.16.115.20,60288,udp,unknown
13,03/07/2000,10:33:29,00:00:00,unknown,ipv4-addr,202.77.162.213,672,ipv4-addr,172.16.115.20,111,udp,unknown
14,03/07/2000,10:33:29,00:00:00,unknown,ipv4-addr,202.77.162.213,673,ipv4-addr,172.16.115.20,60299,udp,unknown
15,03/07/2000,10:33:31,00:00:01,unknown,ipv4-addr,202.77.162.213,1495,ipv4-addr,172.16.115.20,23,tcp,unknown
16,03/07/2000,10:33:32,00:00:00,unknown,ipv4-addr,202.77.162.213,673,ipv4-addr,172.16.114.10,111,udp,unknown
